date,open,high,low,close,volume,average,barCount
2012-01-04,316.0,319.68,315.04,318.16,16090.0,317.568,42054
2012-01-05,315.84,318.8,312.96,313.36,14118.0,315.744,36976
2012-01-06,315.12,315.12,310.88,313.76,11592.0,312.296,32671
2012-01-09,312.88,313.12,308.48,312.64,8813.0,310.724,31681
2012-01-10,316.64,317.84,314.64,314.72,8355.0,316.048,26396
2012-01-11,312.72,314.56,309.92,311.2,10608.0,311.848,32532
2012-01-12,314.32,317.28,303.6,304.48,22112.0,309.664,64910
2012-01-13,303.2,305.68,301.12,305.44,13444.0,303.652,35691
2012-01-17,308.72,310.72,306.48,310.32,11632.0,309.056,29093
2012-01-18,311.04,312.24,307.52,310.64,14758.0,310.112,39743
2012-01-19,312.64,312.88,307.92,309.52,12682.0,310.736,32325
2012-01-20,305.36,305.6,301.44,302.24,15739.0,303.192,38471
2012-01-23,304.16,308.16,303.68,307.12,9668.0,306.16,25644
2012-01-24,302.4,305.6,302.0,304.8,7711.0,304.148,21840
2012-01-25,302.56,308.64,299.92,306.8,17184.0,304.504,42323
2012-01-26,311.44,311.68,305.12,306.96,8380.0,308.568,25548
2012-01-27,306.24,309.36,304.72,306.4,8736.0,306.952,22205
2012-01-30,303.44,306.24,302.64,304.08,6209.0,304.032,18014
2012-01-31,310.64,310.72,300.88,302.56,11257.0,305.224,25993
2012-02-01,305.04,305.84,298.8,299.04,12335.0,301.816,30895
2012-02-02,297.28,298.56,293.44,297.04,10909.0,295.792,26929
2012-02-03,297.92,301.36,296.56,300.72,13138.0,298.896,33110
2012-02-06,298.64,300.24,297.04,298.64,6228.0,298.568,16889
2012-02-07,296.56,304.64,296.32,303.6,12212.0,301.604,30472
2012-02-08,306.88,307.52,301.52,304.32,10658.0,304.66,26703
2012-02-09,307.12,307.84,305.2,306.64,5371.0,306.612,17340
2012-02-10,300.48,304.16,300.08,304.16,6609.0,302.444,19013
2012-02-13,308.08,310.32,305.2,309.52,16930.0,307.928,43801
2012-02-14,312.48,312.8,308.08,310.72,9716.0,310.68,25874
2012-02-15,312.48,313.44,310.96,313.44,9563.0,312.292,26702
